X,Y,OBJECTID,GLOBALID,TRCMID,ASSETID,TRCM_CAT,ASSETCODE,OWNER,LOCGEN,INSTYR,MAT,ASSETDESC,ASSETSTAT,LOCATION,MAINTBY,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.7810223829999,44.7507284760001,1,{CE00EC09-E9B2-4C84-B94E-97FCF22FAFEE},TRCLM69,TRCLM69,VERTI,SPDHMP,HRM,ROW,2018,ASPH,,INS,GLEN ARBOUR WAY,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.503296996,44.685784707,3,{048D49C2-5A98-4930-A405-FC7C38F65E71},TRCLM601,TRCLM601,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,CRANBERRY CRES,HRM,2021/11/18 19:44:17+00,2021/11/23 16:48:03+00,2021/11/18 04:00:00+00,Traffic Management,
-63.600894828,44.828445318,4,{26C8E572-CFF3-40F0-A700-67C4B0867336},TRCLM660,TRCLM660,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,HENRY AVE,HRM,2021/11/19 21:20:34+00,2022/09/29 21:24:39+00,2022/04/14 03:00:00+00,Traffic Management,
-63.76835238,44.760701478,5,{77AE61E1-682B-49D7-8E72-D3BE1577FA11},TRCLM162,TRCLM162,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,SANDY RUN,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.607744484,44.663294509,7,{BB5567D2-5EA0-40E8-B1BB-82A76C13AFE5},TRCLM963,TRCLM963,VERTI,SPDCSH,HRM,ROW,2022,ASPH,,INS,ROBIE ST,HRM,2022/02/03 22:29:37+00,2022/10/26 21:44:55+00,2022/06/22 03:00:00+00,Traffic Management,
-63.624048334,44.803421481,8,{FD7DC98E-85F7-446A-BA82-7583359F8C66},TRCLM231,TRCLM231,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,CONCORD AVE,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.663913715,44.7980559470001,9,{A6BEA7E1-7C96-4D0A-906F-4DA1A4A58394},TRCLM310,TRCLM310,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,CAPILANO DR,HRM,2021/10/27 14:38:33+00,2022/09/23 21:59:28+00,2022/06/03 03:00:00+00,Traffic Management,
-63.5974380819999,44.641882599,10,{A935EE99-3727-48A1-9680-CC5E21D3E074},TRCLM396,TRCLM396,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,CORNWALL ST,HRM,2021/11/15 19:05:37+00,2021/11/15 19:06:35+00,2021/11/15 04:00:00+00,Traffic Management,
-63.677273403,44.7063887780001,11,{F2C1EB37-88DE-4AB8-B0C6-2C3B6877549E},TRCLM924,TRCLM924,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,SOUTHGATE DR,HRM,2021/12/16 23:12:09+00,2021/12/16 23:12:40+00,2021/12/16 04:00:00+00,Traffic Management,
-63.611152315,44.628095456,12,{74771BE8-215F-4518-A581-F1BE14E74513},TRCLM149,TRCLM149,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,COLINDALE ST,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.554044432,44.6742489980001,13,{AF096FAE-C1F5-4A29-9694-F17BF014277F},TRCLM517,TRCLM517,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,JOFFRE ST,HRM,2021/11/16 21:08:02+00,2021/11/16 21:08:53+00,2021/11/16 04:00:00+00,Traffic Management,
-63.519982977,44.676490185,14,{2F8961DD-C94D-4521-89D9-1C90140A8BEA},TRCLM315,TRCLM315,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ANDERSON ST,HRM,2021/10/27 14:38:33+00,2022/12/14 16:46:15+00,2022/06/03 03:00:00+00,Traffic Management,
-63.499189039,44.6859255850001,16,{B9713A96-C5EB-4E35-A7F8-527AA7DF7DA3},TRCLM820,TRCLM820,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,WILDWOOD BLVD,HRM,2021/11/23 17:33:31+00,2021/12/03 19:40:28+00,2021/11/23 04:00:00+00,Traffic Management,
-63.598901729,44.8223559690001,18,{8C363A6C-26C1-43A8-A82D-67E8E34A762C},TRCLM428,TRCLM428,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,ROBERT ST,HRM,2021/11/15 21:07:18+00,2021/11/15 21:07:55+00,2021/11/15 04:00:00+00,Traffic Management,
-63.632271335,44.7848094780001,19,{AF50D92A-556F-4EE6-B2D4-A4C2D0CCEFAA},TRCLM189,TRCLM189,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,WINLEY DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.867697419,44.714893831,21,{8DDA0ABE-E10F-4D63-8196-69A793EC2501},TRCLM497,TRCLM497,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,HEMLOCK DR,HRM,2021/11/16 17:27:03+00,2021/11/16 17:27:35+00,2021/11/16 04:00:00+00,Traffic Management,
-63.60146882,44.825361641,22,{E1AF5F92-707D-46B2-A89C-3B3D6603EE2A},TRCLM661,TRCLM661,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,HENRY AVE,HRM,2021/11/19 21:21:18+00,2022/09/29 21:24:31+00,2022/04/14 03:00:00+00,Traffic Management,
-63.7563133739999,44.7156188610001,26,{1641BFC1-1E62-4661-8C4D-6781712A9C91},TRCLM1079,TRCLM1079,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ST GEORGE BLVD,HRM,2022/04/13 17:11:50+00,2022/10/26 21:31:03+00,2022/04/13 03:00:00+00,Traffic Management,
-63.5447644349999,44.6953158490001,27,{DF1E493E-301A-4AD8-8B12-0D84072A20FB},TRCLM696,TRCLM696,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,MICMAC DR,HRM,2021/11/19 22:21:44+00,2022/12/14 22:06:53+00,2022/06/03 03:00:00+00,Traffic Management,
-63.7377923499999,44.8051504160001,28,{C5132F8E-4C0E-4FD8-B5CA-45B1AB8FAE53},TRCLM441,TRCLM441,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FENERTY RD,HRM,2021/11/15 22:13:14+00,2021/11/15 22:14:03+00,2021/11/15 04:00:00+00,Traffic Management,
-63.4786254969999,44.6730437630001,29,{D3B1D202-AE9E-45BC-94D5-211DF7377264},TRCLM785,TRCLM785,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,JOHN STEWART DR,HRM,2021/11/22 18:02:41+00,2022/12/14 18:51:36+00,2022/06/03 03:00:00+00,Traffic Management,
-63.494061276,44.681749192,30,{F0A95010-5813-4341-83F3-12E72179E418},TRCLM628,TRCLM628,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FLYING CLOUD DR,HRM,2021/11/19 19:24:14+00,2021/11/19 19:24:52+00,2021/11/19 04:00:00+00,Traffic Manangent,
-63.489404748,44.6627681690001,31,{9F1FDE45-4D8A-42F8-9D32-382D0FBECD62},TRCLM611,TRCLM611,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FLAGSTONE DR,HRM,2021/11/18 22:51:56+00,2021/11/18 22:52:47+00,2021/11/18 04:00:00+00,Traffic Management,
-63.6005253129999,44.642434457,32,{C9BE4F49-F55D-4AB6-9CF0-48CC322A9FD2},TRCLM252,TRCLM252,VERTI,SPDHMP,HRM,ROW,2022,ASPH,Installed in 90's. Reinstatement during paving project in 2022,INS,NORWOOD ST,HRM,2021/10/07 15:57:03+00,2022/04/19 17:04:03+00,,Traffic Management,
-63.538627392,44.6999193930001,34,{024E88F7-7363-454D-8E5E-F61F4158FD69},TRCLM704,TRCLM704,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,MONTEBELLO DR,HRM,2021/11/19 22:27:59+00,2022/12/20 19:04:58+00,2022/06/03 03:00:00+00,Traffic Management,
-63.551984298,44.672419459,35,{3590607F-F716-4DED-9E5D-8D58D772C2B2},TRCLM182,TRCLM182,HORIZ,BMPOUT,HRM,ROW,2020,CONC,,INS,JOFFRE ST,HRM,2021/10/07 15:57:03+00,2021/10/07 15:57:03+00,,Traffic Management,
-63.580956866,44.7807166760001,37,{4D2E9B6F-5F85-4E25-94D2-A9DBBA6FBC4B},TRCLM305,TRCLM305,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,Beechcrest Drive,HRM,2021/10/27 14:38:33+00,2022/12/14 23:03:35+00,,,
-63.613960258,44.6265774,39,{AE48194B-9460-4C00-B0B8-93BBCC1AE231},TRCLM342,TRCLM342,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,TOWERVIEW DR,HRM,2021/10/27 14:38:33+00,2022/09/29 20:51:17+00,2022/04/19 03:00:00+00,Traffic Management,
-63.7146422399999,44.80246327,40,{EFE7C5AD-4C3F-4C34-90CF-AC37F09A11AA},TRCLM1054,TRCLM1054,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,Wilson Lake Drive,HRM,2022/03/25 21:58:37+00,2022/12/14 22:59:22+00,,,
-63.6127856369999,44.6265326970001,41,{D4806D04-A6A9-412E-90D0-3616FF31158F},TRCLM344,TRCLM344,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,BRIDGEVIEW DR,HRM,2021/10/27 14:38:33+00,2022/09/29 20:51:52+00,2022/04/19 03:00:00+00,Traffic Management,
-63.591433309,44.6428334570001,42,{E4FC8193-FA21-4935-8C0D-B42FEB0012DA},TRCLM98,TRCLM98,HORIZ,BMPOUT,HRM,ROW,2018,CONC,,INS,VERNON ST,HRM,2021/10/07 15:57:03+00,2021/10/07 15:57:03+00,,Traffic Management,
-63.682570357,44.8261494870001,45,{C87B89D7-646D-4F84-92A2-8F116CE78311},TRCLM229,TRCLM229,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,DANNY DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.591428924,44.639690316,46,{0A2EAB3F-D597-4514-A50E-0150D0215AC5},TRCLM548,TRCLM548,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,LEMARCHANT ST,HRM,2021/11/17 23:01:55+00,2021/11/17 23:02:26+00,2021/11/17 04:00:00+00,Traffic Management,
-63.657798339,44.729529471,48,{12843879-2A94-4F35-82EF-D5E53DD882A4},TRCLM218,TRCLM218,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,CAMDEN ST,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.505768132,44.665501819,49,{E51D2E02-63BE-44BA-BBD4-6909065A2F80},TRCLM684,TRCLM684,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,PORTLAND HILLS DR,HRM,2021/11/19 22:01:23+00,2022/09/29 21:27:08+00,2022/04/14 03:00:00+00,Traffic Management,
-63.4872773709999,44.692350968,51,{E1F41903-CBAF-430E-B2F1-0BC2E09D2321},TRCLM393,TRCLM393,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,BRADORIAN DR,HRM,2021/11/15 18:58:34+00,2021/11/15 18:59:33+00,2021/11/15 04:00:00+00,Traffic Management,
-63.683672654,44.7071273440001,52,{E5AFB34B-4C33-46F2-A8A2-EC8380DD4169},TRCLM864,TRCLM864,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,OCEANVIEW DR,HRM,2021/12/06 21:58:48+00,2021/12/06 21:59:21+00,2021/12/06 04:00:00+00,Traffic Management,
-63.506041282,44.665557457,55,{D6A690B2-8CC9-425D-95AF-5CE73D6BE1A7},TRCLM202,TRCLM202,HORIZ,BMPOUT,HRM,ROW,2021,CONC,,INS,PORTLAND HILLS DR,HRM,2021/10/07 15:57:03+00,2021/10/07 15:57:03+00,,Traffic Management,
-63.6589693399999,44.72858647,57,{2C32BC1F-9E2F-46F3-9F97-A8215B468153},TRCLM221,TRCLM221,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,PERTH ST,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.710761582,44.6426087840001,60,{FB0444C1-1E60-4DBA-9A1E-804AC607F9B7},TRCLM365,TRCLM365,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,PARKDALE AVE,HRM,2021/10/27 14:38:33+00,2022/09/29 20:53:40+00,2022/04/19 03:00:00+00,Traffic Management,
